,cluster,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01005644,6,7
E01005645,7,9
E01005646,6,5
E01005647,6,5
E01005648,8,5
E01005649,6,6
E01005650,4,2
E01005651,4,2
E01005652,4,2
E01005653,10,1
E01005654,4,2
E01005655,9,1
E01005656,4,1
E01005657,9,1
E01005658,10,1
E01005659,4,2
E01005660,10,1
E01005661,4,2
E01005662,10,1
E01005663,9,2
E01005664,10,1
E01005665,10,1
E01005667,10,1
E01005670,4,2
E01005671,4,2
E01005672,8,4
E01005673,5,4
E01005674,4,2
E01005675,8,3
E01005676,7,7
E01005677,5,4
E01005678,4,2
E01005679,9,1
E01005680,10,1
E01005681,4,1
E01005682,10,1
E01005683,10,1
E01005686,5,3
E01005687,5,4
E01005688,5,5
E01005689,9,1
E01005690,5,4
E01005691,6,7
E01005692,9,1
E01005693,6,6
E01005694,6,6
E01005695,7,9
E01005696,8,4
E01005697,7,8
E01005698,9,1
E01005699,6,6
E01005700,5,4
E01005701,7,7
E01005702,4,2
E01005703,10,1
E01005704,4,2
E01005705,5,4
E01005706,9,1
E01005707,9,1
E01005708,4,2
E01005709,10,1
E01005710,5,3
E01005711,8,5
E01005712,5,3
E01005713,7,8
E01005714,4,2
E01005715,6,7
E01005716,7,10
E01005717,7,10
E01005718,5,3
E01005719,5,3
E01005720,4,2
E01005721,4,1
E01005722,9,1
E01005723,9,1
E01005724,8,4
E01005725,9,1
E01005726,5,3
E01005727,5,3
E01005728,8,4
E01005729,10,1
E01005730,8,4
E01005731,9,1
E01005732,9,2
E01005733,9,1
E01005734,6,5
E01005735,7,8
E01005736,7,9
E01005737,7,8
E01005738,7,8
E01005739,7,10
E01005740,7,9
E01005741,7,10
E01005742,7,9
E01005743,6,5
E01005744,4,2
E01005745,6,5
E01005746,10,1
E01005747,7,8
E01005748,7,9
E01005749,6,7
E01005750,8,5
E01005751,5,4
E01005752,5,3
E01005753,10,1
E01005754,10,1
E01005755,10,1
E01005756,10,1
E01005757,5,3
E01005758,10,1
E01005759,8,4
E01005760,5,3
E01005761,5,3
E01005762,10,1
E01005763,4,2
E01005764,5,2
E01005765,7,7
E01005766,9,1
E01005767,6,7
E01005768,7,8
E01005769,7,7
E01005770,7,8
E01005771,6,7
E01005772,7,7
E01005773,8,5
E01005774,4,2
E01005775,7,8
E01005776,7,8
E01005777,6,5
E01005778,6,7
E01005779,8,5
E01005780,8,6
E01005781,9,1
E01005782,7,8
E01005783,6,7
E01005784,7,8
E01005785,7,8
E01005786,7,9
E01005787,7,10
E01005788,7,9
E01005789,7,10
E01005790,5,5
E01005791,6,7
E01005792,7,10
E01005793,7,8
E01005794,7,10
E01005795,7,10
E01005796,7,10
E01005797,5,3
E01005798,5,3
E01005799,9,1
E01005800,6,7
E01005801,6,6
E01005802,7,9
E01005803,7,9
E01005804,5,4
E01005805,7,10
E01005806,7,9
E01005807,7,10
E01005808,7,10
E01005809,7,9
E01005810,7,9
E01005811,7,10
E01005812,7,10
E01005813,7,9
E01005814,7,10
E01005815,7,10
E01005816,8,4
E01005817,4,2
E01005818,4,2
E01005819,6,7
E01005820,8,4
E01005821,5,4
E01005822,9,1
E01005823,5,3
E01005824,6,5
E01005825,6,5
E01005826,9,1
E01005827,6,7
E01005828,10,1
E01005829,4,2
E01005830,6,6
E01005831,8,5
E01005832,6,5
E01005833,5,3
E01005834,5,4
E01005835,7,9
E01005836,6,6
E01005837,6,8
E01005838,8,4
E01005839,7,10
E01005840,8,4
E01005841,6,7
E01005842,7,9
E01005843,7,9
E01005844,6,7
E01005845,6,6
E01005846,6,7
E01005847,6,7
E01005848,7,9
E01005849,7,9
E01005850,5,4
E01005851,6,7
E01005852,7,8
E01005853,5,3
E01005854,7,9
E01005855,7,9
E01005856,7,7
E01005857,6,6
E01005858,7,7
E01005859,8,5
E01005860,7,9
E01005861,8,6
E01005862,7,8
E01005863,8,6
E01005864,7,9
E01005865,7,8
E01005866,8,4
E01005867,7,8
E01005868,7,7
E01005869,6,7
E01005870,8,3
E01005871,8,4
E01005872,5,3
E01005873,6,5
E01005874,9,1
E01005875,6,6
E01005876,6,5
E01005877,5,4
E01005878,5,3
E01005879,5,5
E01005880,7,8
E01005881,7,10
E01005882,7,9
E01005883,7,10
E01005884,7,10
E01005885,8,6
E01005886,4,2
E01005887,4,2
E01005888,5,4
E01005889,5,2
E01005890,4,2
E01005891,6,7
E01005892,5,4
E01005893,5,3
E01005894,8,4
E01005895,5,4
E01005896,8,4
E01005897,5,3
E01005898,6,5
E01005899,6,5
E01005900,5,4
E01005901,6,6
E01005902,4,2
E01005903,7,10
E01005904,7,9
E01005905,9,1
E01005906,7,9
E01005907,7,9
E01005908,1,9
E01005909,7,9
E01005910,5,4
E01005911,6,7
E01005912,1,7
E01005913,6,8
E01005914,5,4
E01005915,4,2
E01005916,8,3
E01005917,4,2
E01005918,10,1
E01005919,9,1
E01005920,6,7
E01005921,4,3
E01005922,6,5
E01005923,7,10
E01005924,7,10
E01005925,7,10
E01005926,1,9
E01005927,7,10
E01005928,5,4
E01005929,7,10
E01005930,7,10
E01005931,7,10
E01005932,7,10
E01005933,9,1
E01005934,5,3
E01005935,10,1
E01005936,6,6
E01005937,4,2
E01005938,5,2
E01005939,6,6
E01005940,5,5
E01005941,9,1
E01005942,8,5
E01005943,8,4
E01005944,5,4
E01005945,9,1
E01005946,4,2
E01005947,9,1
E01005948,10,1
E01005949,4,2
E01005950,4,2
E01005951,4,2
E01005952,10,1
E01005953,9,1
E01005954,4,2
E01005955,7,8
E01005956,6,5
E01005957,5,4
E01005958,4,2
E01005959,9,1
E01005960,4,2
E01005961,8,6
E01005962,8,5
E01005963,8,5
E01005964,8,5
E01005965,4,2
E01005966,4,2
E01005967,9,1
E01005968,6,5
E01005969,8,6
E01005970,6,6
E01005971,5,4
E01005972,4,2
E01005973,6,6
E01005974,4,2
E01005975,5,3
E01005976,4,2
E01005977,8,5
E01005978,4,2
E01005979,5,3
E01005980,4,2
E01005981,9,1
E01005982,4,2
E01005983,6,7
E01005984,9,1
E01005985,6,6
E01005986,5,3
E01005987,6,6
E01005988,7,8
E01005989,6,7
E01005990,6,6
E01005991,8,4
E01005992,4,3
E01005993,6,5
E01005994,5,4
E01005995,6,7
E01005996,5,4
E01005997,5,3
E01005998,5,3
E01005999,4,2
E01006000,9,1
E01006001,5,4
E01006002,5,3
E01006003,5,3
E01006004,6,5
E01006005,9,1
E01006006,6,5
E01006007,5,3
E01006008,6,5
E01006009,5,3
E01006010,4,2
E01006011,9,1
E01006012,5,4
E01006013,5,4
E01006014,5,3
E01006015,7,7
E01006016,10,1
E01006017,7,9
E01006018,7,8
E01006019,10,1
E01006020,4,3
E01006021,8,5
E01006022,8,5
E01006023,9,1
E01006024,7,8
E01006025,10,1
E01006026,5,4
E01006027,10,1
E01006028,9,1
E01006029,4,2
E01006030,4,2
E01006031,9,1
E01006032,4,2
E01006033,4,2
E01006034,4,2
E01006035,5,3
E01006036,4,2
E01006037,7,8
E01006038,6,6
E01006039,4,2
E01006040,4,1
E01006041,5,3
E01006042,6,6
E01006043,5,3
E01006044,8,4
E01006045,7,7
E01006046,7,7
E01006047,5,4
E01006048,6,6
E01006049,5,4
E01006050,10,1
E01006051,6,5
E01006052,9,1
E01006053,1,7
E01006054,4,2
E01006055,8,5
E01006056,9,1
E01006057,6,7
E01006058,8,4
E01006059,6,7
E01006060,9,1
E01006061,4,3
E01006062,7,9
E01006063,6,7
E01006064,9,1
E01006065,9,1
E01006066,4,2
E01006067,7,8
E01006068,4,2
E01006069,4,2
E01006070,8,5
E01006071,7,8
E01006072,7,10
E01006073,4,2
E01006074,5,5
E01006075,7,9
E01006076,7,9
E01006077,6,7
E01006078,7,8
E01006079,7,10
E01006080,7,9
E01006081,7,10
E01006082,7,10
E01006083,7,10
E01006084,7,10
E01006085,7,10
E01006086,7,9
E01006087,1,7
E01006088,7,9
E01006089,7,7
E01006090,7,8
E01006091,7,9
E01006092,4,3
E01006093,7,10
E01006094,7,9
E01006095,7,9
E01006096,7,10
E01006097,7,10
E01006098,7,10
E01006099,7,7
E01006100,7,8
E01006101,7,10
E01006102,6,8
E01006103,7,10
E01006104,4,3
E01006105,9,1
E01006106,4,3
E01006107,4,2
E01006108,10,1
E01006109,9,1
E01006110,5,4
E01006111,4,2
E01006112,9,2
E01006113,5,4
E01006114,4,3
E01006115,4,3
E01006116,7,8
E01006117,7,9
E01006118,5,5
E01006119,7,9
E01006120,7,9
E01006121,6,5
E01006122,7,8
E01006123,7,8
E01006124,7,10
E01006125,6,7
E01006126,4,3
E01006127,6,7
E01006128,7,8
E01006129,5,5
E01006130,7,8
E01006131,7,8
E01006132,6,6
E01006133,7,8
E01006134,7,10
E01006135,7,10
E01006136,7,10
E01006137,7,10
E01006138,6,7
E01006139,7,10
E01006140,7,9
E01006141,5,4
E01006142,6,5
E01006143,8,6
E01006144,9,1
E01006145,4,3
E01006146,6,6
E01006147,7,10
E01006148,7,8
E01006149,6,7
E01006150,7,8
E01006151,7,10
E01006152,7,10
E01006153,7,10
E01006154,7,9
E01006155,7,7
E01006156,5,5
E01006157,6,6
E01006158,5,3
E01006159,5,3
E01006160,8,5
E01006161,7,8
E01006162,7,9
E01006163,7,9
E01006164,7,8
E01006165,8,7
E01006166,6,6
E01006167,9,1
E01006168,9,1
E01006169,6,7
E01006170,7,8
E01006171,4,3
E01006172,6,7
E01006173,7,10
E01006174,7,8
E01006175,4,2
E01006176,6,6
E01006177,4,3
E01006178,7,9
E01006179,3,3
E01006180,8,5
E01006181,5,4
E01006182,6,7
E01006183,6,7
E01006184,5,4
E01006185,4,2
E01006186,5,4
E01006187,5,4
E01006188,5,4
E01006189,5,4
E01006190,7,10
E01006191,7,10
E01006192,7,9
E01006193,7,10
E01006194,7,8
E01006195,7,10
E01006196,7,10
E01006197,7,8
E01006198,8,5
E01006199,5,5
E01006200,6,5
E01006201,8,5
E01006202,8,6
E01006203,7,10
E01006204,7,8
E01006205,7,10
E01006206,5,5
E01006207,9,1
E01006208,6,6
E01006209,7,10
E01006210,7,8
E01006211,5,4
E01006212,6,5
E01006213,9,1
E01006214,4,2
E01006215,9,1
E01006216,6,6
E01006217,5,3
E01006218,4,2
E01006219,5,4
E01006220,4,3
E01006221,6,6
E01006222,7,9
E01006223,8,4
E01006224,7,9
E01006225,6,7
E01006226,6,6
E01006227,6,6
E01006228,5,4
E01006229,7,9
E01006230,7,8
E01006231,6,7
E01006232,1,8
E01006233,7,9
E01006234,6,6
E01006235,4,3
E01006236,7,7
E01006237,7,10
E01006238,4,2
E01006239,10,1
E01006240,10,1
E01006241,9,1
E01006242,8,4
E01006243,7,8
E01006244,4,2
E01006245,6,6
E01006246,4,3
E01006247,6,5
E01006248,10,1
E01006249,9,1
E01006250,7,9
E01006251,7,7
E01006252,7,7
E01006253,4,2
E01006254,4,2
E01006255,6,7
E01006256,6,5
E01006257,8,6
E01006258,6,5
E01006259,6,6
E01006260,4,3
E01006261,5,4
E01006262,4,2
E01006263,6,8
E01006264,7,9
E01006265,8,5
E01006266,6,7
E01006267,9,1
E01006268,6,5
E01006269,5,4
E01006270,9,1
E01006271,6,6
E01006272,5,3
E01006273,4,3
E01006274,4,2
E01006275,9,1
E01006276,6,6
E01006277,7,9
E01006278,5,4
E01006279,6,8
E01006280,5,3
E01006281,7,8
E01006282,4,3
E01006283,9,1
E01006284,4,2
E01006285,6,8
E01006286,5,4
E01006287,7,7
E01006288,9,1
E01006289,9,1
E01006290,7,8
E01006291,5,3
E01006292,6,5
E01006293,5,3
E01006294,5,4
E01006295,4,2
E01006296,9,1
E01006297,4,2
E01006298,4,2
E01006299,7,8
E01006300,7,10
E01006301,7,10
E01006302,6,7
E01006303,6,7
E01006304,6,6
E01006305,9,1
E01006306,9,1
E01006307,4,2
E01006308,4,2
E01006309,4,2
E01006310,4,2
E01006311,4,2
E01006312,7,9
E01006313,4,3
E01006314,7,9
E01006315,7,8
E01006316,7,9
E01006317,6,7
E01006318,7,8
E01006319,7,9
E01006320,7,9
E01006321,7,10
E01006322,4,2
E01006323,4,2
E01006324,4,1
E01006325,5,3
E01006326,4,1
E01006327,9,1
E01006328,4,1
E01006329,4,2
E01006330,6,8
E01006331,7,9
E01006332,5,4
E01006333,4,1
E01006334,9,1
E01006335,5,3
E01006336,10,1
E01006337,6,5
E01006338,4,2
E01006339,6,8
E01006340,5,3
E01006341,5,3
E01006342,4,2
E01006343,7,10
E01006344,4,2
E01006345,6,8
E01006346,6,5
E01006347,7,10
E01006348,7,8
E01006349,8,5
E01006350,10,1
E01006351,10,1
E01006352,4,2
E01006353,5,3
E01006354,4,2
E01006355,6,5
E01006356,9,1
E01006357,10,1
E01006358,4,3
E01006359,4,2
E01006360,9,1
E01006361,9,1
E01006362,7,8
E01006363,6,7
E01006364,6,6
E01006365,7,9
E01006366,5,5
E01006367,7,10
E01006368,7,8
E01006369,9,1
E01006370,5,3
E01006371,8,5
E01006372,7,10
E01006373,7,9
E01006374,7,9
E01006375,8,5
E01006376,5,3
E01006377,7,9
E01006378,7,8
E01006379,6,7
E01006380,4,2
E01006381,7,10
E01006382,7,10
E01006383,6,8
E01006384,7,9
E01006385,7,9
E01006386,10,1
E01006387,5,4
E01006388,5,3
E01006389,6,6
E01006390,5,4
E01006391,5,5
E01006392,9,1
E01006393,7,9
E01006394,7,9
E01006395,7,10
E01006396,6,7
E01006397,4,2
E01006398,4,2
E01006399,5,4
E01006400,7,9
E01006401,7,8
E01006402,7,9
E01006403,7,8
E01006404,4,2
E01006405,4,2
E01006406,5,5
E01006407,6,8
E01006408,4,2
E01006409,6,8
E01006410,7,8
E01006411,10,1
E01006412,10,1
E01006413,10,1
E01006414,10,1
E01006415,4,2
E01006416,10,1
E01006417,10,1
E01006418,10,1
E01006419,6,5
E01006420,8,6
E01006421,1,7
E01006422,6,5
E01006423,6,6
E01006424,6,6
E01006425,5,3
E01006426,10,1
E01006427,5,5
E01006428,4,2
E01006429,10,1
E01006430,10,1
E01006431,5,3
E01006432,10,1
E01006433,4,3
E01006434,10,1
E01006435,10,1
E01006436,10,1
E01006437,10,1
E01006438,6,5
E01006439,4,2
E01006440,10,1
E01006441,4,2
E01006442,10,1
E01006443,10,1
E01006444,10,1
E01006445,10,1
E01006446,10,1
E01006447,10,1
E01006448,10,1
E01006449,4,2
E01006450,10,1
E01006451,4,2
E01006452,4,2
E01006453,10,1
E01006454,5,4
E01006455,10,1
E01006456,4,2
E01006457,5,4
E01006458,9,1
E01006459,5,3
E01006460,10,1
E01006461,10,1
E01006462,5,5
E01006463,9,1
E01006464,4,2
E01006465,6,5
E01006466,5,3
E01006467,10,1
E01006470,10,1
E01006471,6,7
E01006472,6,5
E01006473,8,5
E01006474,5,4
E01006475,5,5
E01006476,7,8
E01006477,4,2
E01006478,10,1
E01006479,4,2
E01006480,10,1
E01006481,9,1
E01006482,4,2
E01006483,9,1
E01006484,9,1
E01006485,5,4
E01006486,8,4
E01006487,8,5
E01006488,8,5
E01006489,8,4
E01006490,6,5
E01006491,6,5
E01006492,4,2
E01006493,10,1
E01006494,10,1
E01006495,9,1
E01006496,4,2
E01006497,4,3
E01006498,6,7
E01006499,8,5
E01006500,9,1
E01006501,5,4
E01006502,5,4
E01006503,6,6
E01006504,9,1
E01006505,9,1
E01006506,4,1
E01006507,10,1
E01006508,4,2
E01006509,10,1
E01006510,4,2
E01006512,8,5
E01006513,8,4
E01006514,4,2
E01006515,9,1
E01006518,10,1
E01006519,7,8
E01006520,4,2
E01006521,5,3
E01006522,4,2
E01006523,4,2
E01006524,7,9
E01006525,7,8
E01006526,8,4
E01006527,5,5
E01006528,8,3
E01006529,8,5
E01006530,7,8
E01006531,6,7
E01006532,7,8
E01006533,5,3
E01006534,4,3
E01006535,4,2
E01006536,4,2
E01006537,8,4
E01006538,8,5
E01006539,7,8
E01006540,10,1
E01006541,9,1
E01006542,9,1
E01006543,8,3
E01006544,10,1
E01006545,9,1
E01006546,10,1
E01006547,10,1
E01006548,10,1
E01006549,4,1
E01006550,8,3
E01006551,4,2
E01006552,9,1
E01006553,8,5
E01006554,8,3
E01006556,10,1
E01006557,8,5
E01006558,10,1
E01006560,10,1
E01006562,10,1
E01006563,10,1
E01006564,9,1
E01006565,4,2
E01006566,5,3
E01006567,9,1
E01006568,5,3
E01006569,9,1
E01006570,5,4
E01006571,9,1
E01006572,10,1
E01006573,9,1
E01006574,9,1
E01006575,4,2
E01006576,8,5
E01006577,8,6
E01006578,8,5
E01006579,7,7
E01006580,7,8
E01006581,7,8
E01006582,7,8
E01006583,7,10
E01006584,8,3
E01006585,10,1
E01006586,4,2
E01006587,5,3
E01006588,8,2
E01006589,6,7
E01006590,8,4
E01006591,8,6
E01006592,7,8
E01006593,8,5
E01006594,7,9
E01006595,8,5
E01006596,8,6
E01006597,7,8
E01006598,10,1
E01006599,9,1
E01006600,10,1
E01006603,9,1
E01006604,9,1
E01006605,9,1
E01006606,9,1
E01006607,9,1
E01006608,4,1
E01006609,9,1
E01006610,10,1
E01006611,10,1
E01006612,10,1
E01006613,9,1
E01006614,10,1
E01006615,10,1
E01006616,4,1
E01006617,8,4
E01006618,9,1
E01006619,8,3
E01006620,5,4
E01006621,8,6
E01006622,7,8
E01006623,6,6
E01006624,4,2
E01006625,8,4
E01006626,5,3
E01006627,5,3
E01006628,8,4
E01006629,4,3
E01006630,10,1
E01006632,9,1
E01006633,10,1
E01006637,10,1
E01006638,10,1
E01006639,4,3
E01006640,5,4
E01006641,5,4
E01006642,10,1
E01006643,10,1
E01006644,9,1
E01006645,10,1
E01006646,10,1
E01006647,10,1
E01006648,9,1
E01006651,6,7
E01006652,5,3
E01006653,9,1
E01006654,5,3
E01006655,4,2
E01006656,4,2
E01006657,4,2
E01006658,10,1
E01006659,10,1
E01006660,9,1
E01006661,10,1
E01006662,10,1
E01006663,9,1
E01006664,10,1
E01006665,6,5
E01006666,6,7
E01006667,4,2
E01006668,6,8
E01006669,5,5
E01006670,6,5
E01006671,4,3
E01006672,10,1
E01006673,9,1
E01006674,10,1
E01006675,9,1
E01006676,10,1
E01006677,10,1
E01006678,10,1
E01006679,10,1
E01006680,7,8
E01006681,5,3
E01006682,7,8
E01006683,7,7
E01006684,7,8
E01006685,8,6
E01006686,6,7
E01006687,6,5
E01006688,8,4
E01006689,7,7
E01006690,9,1
E01006691,10,1
E01006692,9,1
E01006693,10,1
E01006694,9,1
E01006695,10,1
E01006696,9,1
E01006697,9,1
E01006698,9,1
E01006699,10,1
E01006700,10,1
E01006701,9,1
E01006702,10,1
E01006703,10,1
E01006705,9,1
E01006706,10,1
E01006707,10,1
E01006708,9,1
E01006709,9,1
E01006710,4,2
E01006711,9,1
E01006712,4,2
E01006713,4,2
E01006716,9,1
E01006717,5,3
E01006718,4,2
E01006719,5,3
E01006720,9,1
E01006721,10,1
E01006722,8,2
E01006723,4,2
E01006724,8,5
E01006725,4,2
E01006726,4,1
E01006727,8,2
E01006728,10,1
E01006729,10,1
E01006730,9,1
E01006731,10,1
E01006732,10,1
E01006734,10,1
E01006735,10,1
E01006736,9,1
E01006737,9,1
E01006738,9,1
E01006739,10,1
E01006740,9,1
E01006741,9,1
E01006742,4,2
E01006743,5,3
E01006744,4,2
E01006745,4,1
E01006746,9,1
E01006747,8,4
E01006748,8,2
E01006751,4,2
E01006752,9,1
E01006753,10,1
E01006754,10,1
E01006755,10,1
E01006756,10,1
E01006757,10,1
E01006758,10,1
E01006759,4,1
E01006760,10,1
E01006761,9,1
E01006762,9,1
E01006763,9,1
E01006764,10,1
E01006765,4,2
E01006766,10,1
E01006767,10,1
E01006768,9,1
E01006769,9,1
E01006770,9,1
E01006771,10,1
E01006772,4,2
E01006773,8,6
E01006774,6,8
E01006775,10,1
E01006776,9,1
E01006778,10,1
E01006779,10,1
E01006780,5,3
E01006781,6,5
E01006782,4,2
E01006783,4,2
E01006784,4,2
E01006785,4,2
E01006786,4,2
E01006787,9,1
E01006788,4,2
E01006790,10,1
E01006791,10,1
E01006792,7,7
E01006793,4,3
E01006794,6,6
E01006795,6,7
E01006796,7,9
E01006797,4,2
E01006798,6,7
E01006799,4,3
E01006800,6,7
E01006801,6,6
E01006802,5,5
E01006803,6,6
E01006804,5,5
E01006805,5,3
E01006806,7,9
E01006807,7,9
E01006808,6,7
E01006809,6,8
E01006810,6,7
E01006811,4,2
E01006812,9,1
E01006813,4,2
E01006814,6,7
E01006815,5,3
E01006816,10,1
E01006817,10,1
E01006818,6,6
E01006819,4,2
E01006820,10,1
E01006821,10,1
E01006822,7,8
E01006823,7,9
E01006824,7,8
E01006825,7,9
E01006826,9,2
E01006827,7,8
E01006828,7,9
E01006829,7,7
E01006830,9,1
E01006831,5,3
E01006832,4,2
E01006833,8,4
E01006834,9,1
E01006835,5,3
E01006836,4,3
E01006837,5,4
E01006838,4,2
E01006839,5,3
E01006840,5,5
E01006841,7,8
E01006842,4,2
E01006843,5,4
E01006844,10,1
E01006845,4,2
E01006846,5,4
E01006847,10,1
E01006848,5,4
E01006849,10,1
E01006850,9,1
E01006851,5,4
E01006852,6,7
E01006853,5,4
E01006854,5,3
E01006855,4,3
E01006856,6,7
E01006857,7,9
E01006858,4,2
E01006859,7,8
E01006860,5,3
E01006861,9,1
E01006862,4,2
E01006863,9,1
E01006864,6,5
E01006865,9,1
E01006866,4,2
E01006867,6,6
E01006868,4,2
E01006869,9,2
E01006870,4,1
E01006871,10,1
E01006872,10,1
E01006873,10,1
E01006874,10,1
E01006875,9,1
E01006876,4,2
E01006877,10,1
E01006878,5,3
E01006879,4,2
E01006880,10,1
E01006881,10,1
E01006882,7,9
E01006883,6,7
E01006884,6,6
E01006885,1,7
E01006886,7,8
E01006887,5,4
E01006888,6,8
E01006889,7,8
E01006890,5,3
E01006891,6,6
E01006892,5,5
E01006893,5,4
E01006894,6,5
E01006895,7,9
E01006896,5,4
E01006897,5,4
E01006898,4,2
E01006899,4,2
E01006900,6,5
E01006901,6,6
E01006903,10,1
E01006904,5,3
E01006905,10,1
E01006906,5,3
E01006907,4,2
E01006908,10,1
E01006909,10,1
E01006910,4,2
E01006911,6,6
E01006912,4,2
E01006913,9,1
E01006914,7,9
E01006915,4,2
E01006916,5,3
E01006917,7,9
E01006918,6,6
E01006919,9,1
E01006920,6,6
E01006921,6,8
E01006922,7,8
E01006923,6,7
E01006924,9,2
E01006925,4,3
E01006926,7,10
E01006927,6,6
E01006928,7,8
E01006929,5,5
E01006930,5,5
E01006931,7,8
E01006932,7,9
E01006933,5,5
E01006934,8,5
E01006935,6,6
E01006936,7,8
E01006937,7,9
E01006938,1,7
E01006939,8,6
E01006940,7,7
E01006941,6,6
E01006942,8,5
E01006943,7,10
E01006944,4,2
E01006945,4,2
E01006946,5,5
E01006947,6,7
E01006948,9,2
E01006949,6,6
E01006950,9,1
E01006951,5,5
E01006952,10,1
E01006953,9,2
E01006954,8,4
E01006955,8,6
E01006956,4,2
E01006957,10,1
E01006958,4,2
E01006959,5,3
E01006960,8,3
E01006961,10,1
E01006962,4,2
E01006963,10,1
E01006964,10,1
E01006965,9,1
E01006966,4,2
E01006967,10,1
E01006968,9,1
E01006969,4,2
E01006970,4,2
E01006971,8,5
E01006972,5,5
E01006973,6,7
E01006974,7,9
E01006976,5,4
E01006977,4,2
E01006978,8,5
E01006979,10,1
E01006980,10,1
E01006981,9,1
E01006982,5,3
E01006983,5,4
E01006984,10,1
E01006985,7,10
E01006986,7,9
E01006987,7,9
E01006988,6,6
E01006989,7,9
E01006990,7,10
E01006991,7,10
E01006992,6,8
E01006993,7,10
E01006994,5,3
E01006995,6,6
E01006996,5,3
E01006997,8,4
E01006998,5,3
E01006999,5,5
E01007000,5,3
E01007001,5,4
E01007002,7,8
E01007003,10,1
E01007004,10,1
E01007005,10,1
E01007006,10,1
E01007007,10,1
E01007008,10,1
E01007009,10,1
E01007010,10,1
E01007011,10,1
E01007012,9,1
E01007013,10,1
E01007014,6,5
E01007016,9,1
E01007017,9,1
E01007019,10,1
E01007020,4,2
E01007021,7,9
E01007022,4,3
E01007023,7,8
E01007024,9,2
E01007025,7,9
E01007026,4,2
E01007027,7,9
E01007028,6,6
E01007029,6,6
E01007030,5,4
E01007031,6,7
E01007032,7,9
E01007033,6,6
E01007034,7,9
E01007035,6,7
E01007036,6,7
E01007037,6,6
E01007038,4,2
E01007039,5,5
E01007040,8,4
E01007041,5,4
E01007042,5,4
E01007043,6,7
E01007044,6,7
E01007045,6,6
E01007046,5,4
E01007047,4,2
E01007048,9,1
E01007049,4,3
E01007050,5,3
E01007051,10,1
E01007052,4,2
E01007053,5,4
E01007054,4,2
E01007055,9,1
E01007056,5,5
E01007057,6,5
E01007058,5,3
E01007059,6,6
E01007060,4,3
E01007061,6,7
E01007062,8,6
E01007063,8,5
E01007064,6,6
E01007065,6,7
E01007066,6,7
E01007067,7,8
E01007068,7,9
E01007069,5,5
E01007070,7,9
E01007071,6,7
E01007072,6,7
E01007073,7,8
E01007074,5,4
E01007075,6,7
E01007076,8,6
E01007077,6,7
E01007078,7,9
E01007079,7,10
E01007080,6,7
E01007081,7,9
E01007082,7,8
E01007083,5,3
E01007084,7,7
E01007085,9,1
E01007086,10,1
E01007087,9,1
E01007088,4,2
E01007089,10,1
E01007090,9,1
E01007091,4,2
E01007092,9,1
E01007095,7,8
E01007096,7,9
E01007097,7,8
E01007098,6,7
E01007099,6,5
E01007100,7,8
E01007101,7,8
E01007102,8,4
E01007103,8,7
E01007104,6,7
E01007105,6,7
E01007106,5,5
E01007107,7,8
E01007108,6,6
E01007109,8,4
E01007110,7,7
E01007111,7,9
E01007112,8,4
E01007113,6,7
E01007114,5,3
E01007115,5,4
E01007116,8,6
E01007117,7,8
E01007118,4,3
E01007119,9,1
E01007120,9,1
E01007121,10,1
E01007122,10,1
E01007123,10,1
E01007124,10,1
E01007125,9,1
E01007126,10,1
E01007127,10,1
E01007128,10,1
E01007129,10,1
E01007130,9,1
E01007131,10,1
E01007133,10,1
E01007135,6,7
E01007136,4,2
E01007137,5,3
E01007138,10,1
E01007139,4,1
E01007140,5,3
E01007141,5,2
E01007142,7,7
E01007143,6,5
E01007144,1,7
E01007145,7,9
E01007146,7,10
E01007147,7,9
E01007148,6,8
E01007149,7,10
E01007150,7,9
E01007151,7,8
E01007152,6,5
E01007153,5,3
E01007154,7,8
E01007155,10,1
E01007156,5,4
E01007157,8,4
E01007158,8,6
E01007159,6,5
E01007160,5,4
E01007161,5,4
E01007162,9,1
E01007163,6,5
E01007164,8,6
E01007165,7,8
E01007166,7,8
E01007167,5,3
E01007168,4,2
E01007169,5,3
E01007170,6,8
E01007171,7,9
E01007172,7,9
E01007173,5,5
E01007174,5,3
E01007175,10,1
E01007176,9,1
E01007177,4,3
E01007178,4,2
E01007179,9,1
E01007180,4,2
E01007181,4,2
E01007182,7,9
E01007183,6,6
E01007184,7,9
E01007185,6,6
E01007186,7,10
E01007187,7,10
E01007188,7,10
E01007189,7,10
E01007190,7,10
E01007191,7,10
E01007192,6,6
E01007193,6,7
E01007194,8,6
E01007195,7,9
E01007196,6,6
E01007197,7,8
E01007198,8,7
E01007199,7,10
E01007200,7,10
E01007201,6,6
E01007202,5,4
E01007203,6,7
E01007204,10,1
E01007205,4,2
E01007206,5,4
E01007207,10,1
E01007208,4,2
E01007209,10,1
E01007210,9,1
E01007211,6,5
E01007212,8,4
E01007213,8,4
E01007214,4,2
E01007215,10,1
E01007216,4,2
E01007217,5,2
E01007218,4,2
E01007219,4,2
E01007220,10,1
E01007221,5,4
E01007222,6,6
E01007223,5,5
E01007224,6,7
E01007225,6,6
E01007226,6,5
E01007227,9,1
E01007228,9,1
E01007229,8,4
E01007230,5,3
