,cluster,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01000355,7,9
E01000356,7,9
E01000357,7,10
E01000358,7,9
E01000359,7,9
E01000360,8,5
E01000361,7,8
E01000362,7,7
E01000363,7,8
E01000364,1,7
E01000365,6,6
E01000366,7,8
E01000367,3,3
E01000368,3,2
E01000369,6,6
E01000370,6,7
E01000371,7,9
E01000372,5,3
E01000373,3,3
E01000374,4,2
E01000375,6,5
E01000376,6,6
E01000377,6,7
E01000378,6,5
E01000379,6,5
E01000380,3,4
E01000381,3,3
E01000382,1,9
E01000383,6,5
E01000384,7,7
E01000385,3,3
E01000386,4,2
E01000387,1,7
E01000388,7,8
E01000389,1,8
E01000390,7,8
E01000391,6,7
E01000392,6,4
E01000393,7,8
E01000394,7,8
E01000395,7,10
E01000396,7,9
E01000398,6,5
E01000399,7,8
E01000400,6,6
E01000401,6,5
E01000402,3,4
E01000403,3,3
E01000404,3,3
E01000405,3,3
E01000406,8,4
E01000407,6,6
E01000408,5,4
E01000409,7,9
E01000410,7,9
E01000411,7,8
E01000412,1,9
E01000413,7,8
E01000414,7,7
E01000415,7,9
E01000416,3,4
E01000417,6,5
E01000418,1,5
E01000419,7,8
E01000420,6,8
E01000421,7,9
E01000422,3,2
E01000423,7,10
E01000424,7,9
E01000425,7,9
E01000426,7,8
E01000427,6,7
E01000428,3,4
E01000429,3,2
E01000430,6,6
E01000431,3,2
E01000432,5,4
E01000433,3,2
E01000434,4,2
E01000435,3,3
E01000436,7,10
E01000437,6,7
E01000438,6,7
E01000439,5,4
E01000440,7,9
E01000441,5,3
E01000442,6,7
E01000443,6,5
E01000444,1,9
E01000445,7,10
E01000446,7,9
E01000447,7,8
E01000448,7,10
E01000449,7,10
E01000450,6,5
E01000451,7,9
E01000452,7,9
E01000453,7,9
E01000454,6,5
E01000455,7,9
E01000456,7,9
E01000457,1,7
E01000458,7,10
E01000459,6,6
E01000460,7,10
E01000461,1,9
E01000462,6,6
E01000463,7,10
E01000464,3,4
E01000465,3,3
E01000466,3,4
E01000467,6,5
E01000468,2,5
E01000469,6,5
E01000470,3,2
E01000471,2,5
E01000472,2,4
E01000473,3,4
E01000474,2,4
E01000475,2,5
E01000476,2,5
E01000477,2,4
E01000478,2,4
E01000479,1,6
E01000480,1,7
E01000481,3,3
E01000482,3,2
E01000483,3,2
E01000484,3,2
E01000485,3,3
E01000486,1,6
E01000487,1,6
E01000488,3,4
E01000489,8,4
E01000490,8,4
E01000491,6,5
E01000492,1,7
E01000493,1,7
E01000494,2,5
E01000495,3,3
E01000497,3,4
E01000498,3,3
E01000499,3,3
E01000501,3,2
E01000502,3,3
E01000503,3,3
E01000504,6,5
E01000505,2,5
E01000506,3,3
E01000507,3,4
E01000508,3,2
E01000509,3,2
E01000510,3,3
E01000511,3,3
E01000512,2,5
E01000513,1,6
E01000514,1,6
E01000515,3,3
E01000516,2,5
E01000517,1,7
E01000518,3,4
E01000519,2,5
E01000520,2,5
E01000521,9,1
E01000522,3,3
E01000523,3,3
E01000524,3,1
E01000525,3,2
E01000526,3,2
E01000527,3,2
E01000528,3,1
E01000530,8,6
E01000531,3,4
E01000532,2,4
E01000533,3,2
E01000534,8,5
E01000535,8,3
E01000536,1,8
E01000538,1,8
E01000539,1,8
E01000540,1,8
E01000541,1,6
E01000543,2,5
E01000544,3,2
E01000545,3,3
E01000546,3,4
E01000547,8,4
E01000548,3,3
E01000549,6,6
E01000550,3,2
E01000551,3,2
E01000552,3,2
E01000553,3,3
E01000554,6,5
E01000555,1,6
E01000556,3,3
E01000557,3,4
E01000558,3,3
E01000559,8,4
E01000560,2,5
E01000561,3,4
E01000562,1,8
E01000563,1,8
E01000564,2,6
E01000565,3,4
E01000566,1,6
E01000567,1,5
E01000568,2,6
E01000569,1,8
E01000570,2,4
E01000571,8,4
E01000572,1,7
E01000573,1,7
E01000574,1,8
E01000575,2,6
E01000576,1,6
E01000577,3,3
E01000578,3,3
E01000579,3,3
E01000580,8,5
E01000581,8,6
E01000582,1,6
E01000583,8,5
E01000584,1,6
E01000585,1,7
E01000586,2,5
E01000587,1,6
E01000588,3,4
E01000589,1,5
E01000590,6,5
E01000591,2,5
E01000592,6,5
E01000593,2,5
E01000594,2,6
E01000595,3,1
E01000596,3,1
E01000599,9,1
E01000600,3,2
E01000601,9,1
E01000602,3,2
E01000603,3,2
E01000604,3,2
E01000605,3,1
E01000606,2,5
E01000607,2,5
E01000608,2,4
E01000609,2,5
E01000610,3,4
E01000611,2,4
E01000612,3,4
E01000613,3,4
E01000615,2,5
E01000616,2,4
E01000617,2,4
E01000618,3,4
E01000619,6,5
E01000620,2,5
E01000621,2,4
E01000622,3,3
E01000623,2,6
E01000624,1,5
E01000625,2,4
E01000626,3,2
E01000627,3,2
E01000628,3,2
E01000629,1,6
E01000630,3,3
E01000631,2,6
E01000632,2,5
E01000633,2,4
E01000634,2,4
E01000635,3,3
E01000636,2,5
E01000637,3,4
E01000638,3,3
E01000639,2,4
E01000640,3,3
E01000641,3,3
E01000642,3,3
E01000643,9,1
E01000644,3,4
E01000645,1,10
E01000646,7,8
E01000647,7,9
E01000648,7,9
E01000649,1,8
E01000650,1,7
E01000651,1,8
E01000652,7,9
E01000653,1,8
E01000654,7,9
E01000655,1,8
E01000656,7,9
E01000657,6,7
E01000658,7,9
E01000659,7,9
E01000661,3,2
E01000662,6,5
E01000663,6,6
E01000664,1,5
E01000665,1,8
E01000666,1,10
E01000667,1,9
E01000668,7,7
E01000669,7,8
E01000670,1,10
E01000671,1,8
E01000672,1,9
E01000673,1,9
E01000674,1,7
E01000675,1,8
E01000676,8,5
E01000677,1,7
E01000678,1,8
E01000679,7,8
E01000680,1,8
E01000681,7,10
E01000682,7,10
E01000683,1,7
E01000684,7,10
E01000685,6,7
E01000686,7,9
E01000687,7,9
E01000688,7,10
E01000689,6,4
E01000690,7,9
E01000691,6,7
E01000692,7,9
E01000693,1,7
E01000694,1,9
E01000695,1,9
E01000696,1,9
E01000697,7,10
E01000698,1,7
